0,piano
1,violin
2,bagpipes
3,clarinet
4,tuba
5,harp
6,castanets
7,clavichord
8,guitar
9,ocarina
10,dulcimer
11,sitar
12,acordian
13,guiro
14,marakas
15,saxaphone
16,bongo drum
17,trumpet
18,concertina
19,Didgeridoo
20,drums
21,casaba
22,flute
23,banjo
24,trombone
25,Xylophone
26,steel drum
27,alphorn
28,harmonica
29,Tambourine
